#,#
% of total,Жами %
(no name),(исмсиз)
Simplified / turnover tax,Соддалаштирилган / айланма солиғи
Simulation result,
Simulator,
Simulator inputs,
Size,
Skip Reason,Сабабини қолдириш
Skip reason is required when status is Skipped.,"Ҳолат ""Қолдирилган"" бўлганда сабабини қолдириш талаб қилинади."
Skipped,Қолдирилган
skipped,ўтказиб юборилди
SLA,SLA
Slip,Ҳисоб варақаси
Smart Fill from PIs,ПИ лардан ақлли тўлдириш
Smart Fill items and quantities from supplier Proforma Invoices,Етказиб берувчи проформаларидан товар ва миқдорларни ақлли тўлдириш
Snapshots are generated by the daily ROI task for Active promo plans.,Суратлар фаол рекламалаш режалари учун кунлик ROI вазифаси орқали яратилади.
SO,SO
SO billing,SO ҳисоб-китоби
SO delivery,SO етказиб бериш
SO number or customer…,
So'z bilan:,Сўз билан:
SoD Enforcement,
SoD violations,Вазифалар тақсимоти бузилишлари
Sold,Сотилган
SoliqOnline UUID,SoliqOnline UUID
Some affect this month's pay,Баъзилари шу ой ойлигига таъсир қилади
Some lines could not be reserved,Айрим сатрларни зарарасини олиб кўйиб бўлмади
Some lines exceed available stock. Adjust quantities or warehouse before submitting.,Баъзи қаторлар мавжуд омбордаги миқдордан ошиб кетмоқда. Юборишдан олдин миқдорни ёки омборни тўғриланг.
Some quantities differ from the BOM plan.,Баъзи миқдорлар BOM режасидан фарқ қилади.
Something went wrong,Хатолик юз берди
Soni (korobka),Сони (коробка)
Soon,Яқинлашаётган
SOON,ЯҚН
source,target
Source,Манба
Source / Portal,Манба / Портал
Source Stock,Манба қолдиғи
Source warehouse,Манба омбор
Source warehouse is required.,
Sourcing,Таъминот
Sourcing award decision,Ғолибни танлаш қарори
Sourcing comparison,Етказиб берувчиларни таққослаш
Sourcing decision approved.,Харид қарори тасдиқланди.
Sourcing decision saved as draft.,Харид қарори қоралама сифатида сақланди.
Sourcing policy,Харид сиёсати
Sourcing started,Нарх сўрови бошланди
Sourcing Summary,Таъминот хулосаси
Sourcing workspace,Харидлар иш жойи
Sourcing — cost first,Нарх сўрови — аввал таннарх
Spend,Харажат
Split Bank + Cash,Тақсимлаш (Банк + Нақд)
Split equally,Тенг тақсимлаш
Split one payment across child locations,Битта тўловни бола манзиллар бўйича бўлиш
Spread,Фарқ
SRE module unavailable: {0},SRE модули ишламайди: {0}
SREs,SRE
Stabler BRV Setting,БҲМ созламаси
Stabler creates the draft; sharing it with suppliers stays your act.,Stabler қораламани яратади; етказиб берувчилар билан бўлишиш сизнинг ҳаракатингиздир.
Stabler Customs Fee Tier,Божхона йиғими босқичи
Stabler Settings doctype does not exist. Run migrations first.,
Stacked,Устма-уст
staff,
Staff with base salary = 0,Асосий ойлиги = 0 бўлган ходимлар
Stage,Босқич
Stage Materials,
Stage name is required.,
Stage progress,Босқич жараёни
Stage still has Sales Orders — move them first.,Босқичда ҳали буюртмалар бор — аввал уларни кўчиринг.
Stake coefficient,
Stale days,
Stale days cannot be negative.,
Stale exchange rate: the nearest CBU rate for {0} to {1} is from {2} ({3} days old). ,
Stale request: reload the document.,
Standard allowances,
Standard rate,Стандарт нарх
Standard set,Стандарт тўплам
Start,Бошлаш
start,бошланиш
Start & Transfer,Бошлаш ва кўчириш
Start Date,Бошлаш саналари
Start failed.,Бошлаш муваффақиятсиз.
Start Work,Ишни бошлаш
Start Work Order,
Start Work Order & Transfer Materials,Иш буюртмасини бошлаш ва материалларни кўчириш
Start Work Order and transfer raw materials?,
Stat. value,Стат. қиймат
State,Ҳолат
Statement,Кўчирма
Statement account does not match the selected bank account ({0}).,Кўчирма ҳисоби танланган ҳисобга мос келмайди ({0}).
Statement file,Кўчирма файли
Statistical Value (USD),Статистик қиймат (USD)
Status,Ҳолат
Status change failed.,Ҳолатни ўзгартириб бўлмади.
Status Correction Reason,Ҳолатни тузатиш сабаби
Status is required.,Ҳолат талаб қилинади.
Status name is required,
Status not found,
Status Pipeline,Ҳолат босқичлари
Status updated.,Ҳолат янгиланди.
Step,Қадам
step,босқич
Step #{0} not found on this visit.,Қадам №{0} ушбу ташриф сўрида топилмади.
Step #{0}: type is required.,Қадам №{0}: тури талаб қилинади.
Step 1: Select Proforma Invoices,1-қадам: проформаларни танланг
Step 2: Allocate Line Items,2-қадам: қаторларни тақсимланг
Step fee (UZS),
Step interval (min),
Step performance,Босқич самарадорлиги
Step performance →,Босқич самарадорлиги →
step_idx must be an integer.,step_idx бутун сон бўлиши керак.
Steps,Қадамлар
steps,босқич
Sticker Leader,Каталог нархи етакчиси
Sticker price,Каталог нархи
Stock,Сўзи
stock,захира
Stock and reservations are read from this warehouse,Қолдиқ ва резервлар ушбу омбордан олинади
Stock Entries,Захира Ёзувлари
Stock entries,Сўзи ички қўйишлари
Stock Entry,Сўзи ички қўйиши
Stock entry,Сўзи ички қўйиши
Stock insufficient — cannot submit,Омбордаги захира етарли эмас — юбориб бўлмайди
Stock issued,Материаллар чиқарилган
Stock item,Сўзи товари
Stock Ledger,Омбор китоби
Stock ledger detail,Сток дафтари детали
Stock movement summary,Омбор ҳаракат хулосаси
Stock Reconciliation,Қолдиқларни солиштириш
Stock Reservation,Омбор резерви
Stock reservation,Омбор резерви
Stock reservations,Сўзи резервацияси
Stock Status,Омбор ҳолати
Stock transactions,
Stock UOM,Сўзи ўлчов бирлиги
Stock value,Сўзи қиймати
Stop,Тўхтатиш
Stop this Work Order? You can resume it later.,Бу буюртмани тўхтатасизми? Кейин давом эттирса бўлади.
Stop Work Order,
Storage,Сақлаш
Storefront,Дўкон саҳнаси
Stream,Оқим
Stuck (min),Осилган (дақ)
STUFFED,Юкланган
Sub-cut,Ички кесим
Sub-cut breakdown,Суб-кесим тақсимоти
Sub-cut of the PI line,ПИ қаторининг ички кесими
Subject,Мавзу
Subject is required.,
Submission deadline,Топшириш муддати
Submission Deadline,Топшириш муддати
Submit,Тасдиқлаш
Submit & reserve stock,Тасдиқлаш ва омборни резерв қилиш
Submit a Budget document covering this date range and cost centre.,
Submit a Budget document in ERPNext to see it here.,
Submit a leave request on behalf of an employee.,Ходим номидан ариза юборинг.
Submit a request to track equipment service tickets.,Жиҳоз хизмати билетларини кўзатиш учун сўров тасдиқланг.
Submit and release this Work Order?,Бу буюртмани тасдиқлаш ва ишга туширишми?
Submit BOM?,
Submit document?,
Submit expense,Харажатни тасдиқлаш
Submit failed.,Тасдиқлаш бажарилмади.
Submit GRN,Қабулни тасдиқлаш
Submit journal entry?,Проводкани тасдиқлайсизми?
Submit quotation,Таклифни юбориш
Submit receipt,Қабулни тасдиқлаш
Submit Revaluation,
Submit the GRN Checklist before adding a Landed Cost Voucher.,Етказиб бериш харажатлари ваучерини қўшишдан олдин GRN назорат варағини тасдиқланг.
Submit this BOM? You won't be able to edit it after.,Бу спецификацияни тасдиқлайсизми? Кейин таҳрирлаб бўлмайди.
Submit this GRN checklist? This closes receiving and drafts a landed cost voucher.,Ушбу қабул варақаси тасдиқлансинми? Қабул ёпилади ва таннарх ваучери қораламаси яратилади.
Submit transfer,Ўтказмани тасдиқлаш
Submit Work Order,
Submitted,Тасдиқланган
"Submitted and lost — the bid was in, the result went the other way.","Юборилди ва ютқазилди — таклиф берилган эди, натижа бошқача чиқди."
Submitted and waiting on the result. Nothing to do but track it.,"Таклиф топширилди, натижа кутилмоқда. Фақат кузатиб бориш қолди."
Submitted At,Тасдиқланган вақти
Submitted bills; returns netted.,Тасдиқланган харид ҳисоб-фактуралари; қайтаришлар нетто.
Submitted budgets vs GL actuals (debit − credit). Income favorable = actual > budget; cost favorable = actual < budget.,
Submitted for approval,Тасдиқлашга юборилди
Submitted invoices; returns netted.,Тасдиқланган сотув ҳисоб-фактуралари; қайтаришлар нетто.
Submitted Sales Invoices only,
"Submitted Sales Invoices only, grouped by %s.","Фақат тасдиқланган Савдо ҳисоб-фактуралари, %s бўйича гуруҳланган."
Submitted Sales Invoices only. Revenue allocated by Sales Team percentage; ,Фақат тасдиқланган Савдо ҳисоб-фактуралари. Даромад Савдо жамоаси фоизи бўйича тақсимланган;
"Submitted Sales Orders only — booked (committed) value, not invoiced revenue.","Фақат тасдиқланган Сотув буюртмалари — банд қилинган (мажбурий) сумма, ҳисоб-фактура қилинган даромад эмас."
Submitted visits waiting for invoice or parts issue.,Фактура ёки эҳтиёт қисм чиқимини кутаётган ташриф.
Submitting…,Юборилмоқда…
Subtotal,Оралиқ жами
Suggested,Тавсия этилган
sum of every open tender,барча очиқ тендерлар йиғиндиси
sum of every open tender's value,барча очиқ тендерлар қиймати йиғиндиси
summaries ready,ҳисобот тайёр
Summary,Хулоса
Summary locked,
summary — details in PI,хулоса — тафсилотлар PI да
Sun,Я
Sunday,
SUPERSEDED_BY_CI,CI билан алмаштирилган
Superseding proforma,Алмаштирилаётган проформа
Supplier,Таъминотчи
supplier,етказиб берувчи
Supplier ABC analysis,Етказиб берувчилар ABC таҳлили
Supplier balance,Таъминотчи баланси
Supplier bill #,Таъминотчи ҳисоб-фактураси №
Supplier bills,Етказиб берувчи ҳисоблари
Supplier deleted.,Етказиб берувчи ўчирилди.
Supplier group,Таъминотчи гуруҳи
Supplier invoice,Таъминотчи ҳисоб-фактураси
Supplier is required.,Таъминотчи мажбурий.
Supplier name,Таъминотчи номи
Supplier name is required.,Таъминотчи номи керак.
Supplier payables grouped by aging buckets.,
Supplier Payment Currency Guard,Таъминотчи тўлови валютаси назорати
Supplier PI No.,Етказиб берувчи PI рақами
Supplier quotations,Етказиб берувчилар таклифлари
Supplier quotations comparison,Етказиб берувчи таклифларини таққослаш
Supplier signature / stamp,Етказиб берувчи имзоси / муҳри
Suppliers,Етказиб берувчилар
Suppliers asked,Сўралган етказиб берувчилар
Suppliers to ask,Сўров юбориладиган етказиб берувчилар
Suspended,Тўхтатилган
Swap accounts,Ҳисобларни алмаштириш
Sync failed.,Синхронлаш муваффақиятсиз.
Sync now,Синхронлаш
Sync TimePay,TimePay синхрон
Sync TimePay attendance and generate the period summary to populate this table.,
System document,Тизимдаги ҳужжат
System qty,Тизимдаги миқдор
Table,Жадвал
Tag Sales/Purchase Orders to a tender deal to see them here.,Уларни бу ерда кўриш учун буюртмаларни тендерга боғланг.
Tag Supplier Quotations to this deal to compare them here.,Таққослаш учун котировкаларни шу битимга боғланг.
Take Payment,
Taken from the cash desk — never chosen by hand.,Кассадан олинади — қўлда танланмайди.
Target,Мақсад
Target margin (profit ÷ net revenue),Мақсадли маржа (фойда ÷ соф тушум)
Target rate,Мақсадли нарх
Target Remaining,
Target Temp Max,Мақсадли макс. ҳарорат
Target temp max (°C),Макс. ҳарорат (°C)
Target Temp Min,Мақсадли мин. ҳарорат
Target temp min (°C),Мин. ҳарорат (°C)
Target total,Мақсадли жами
Target WIP Warehouse,
Task,Вазифа
Tax amount,
Tax ID,Солиқ ID
Tax rates,Солиқ ставкалари
Tax template,Солиқ шаблони
Tax type,Солиқ тури
Taxes,Солиқлар
Tayyor,Тайёр
TDY,БГН
Team load,Жамоа юкламаси
Technical evaluation result,Техник баҳолаш натижаси
Technical Specification,Техник спецификация
Technician,Техник
Technician state,Техник ҳолати
Tekshirilmagan tarix,Текширилмаган тарих
Telegram,Telegram
Telegram ID,Telegram ID
Telegram ID cannot be changed after creation.,Telegram ID яратилгандан сўнг ўзгартириб бўлмайди.
Telegram ID or user…,Telegram ID ёки фойдаланувчи…
Telegram User ID,Telegram User ID
Telegram User ID is required.,Telegram User ID талаб қилинади.
Telex / BL,Телекс / BL
Telex release,Телекс релиз
Telex Release Date,Телекс-релиз санаси
Temperature,Ҳарорат
Temperature at arrival (°C),Келишдаги ҳарорат (°C)
Temperature flagged,Ҳарорат белгиланган
Temperature OK,Ҳарорат яхши
Temporary comparison,Вақтинчалик таққослаш
Tender,Тендер
Tender (Deal),Тендер (битим)
Tender / deal,Тендер / битим
Tender / Deal,Тендер / Битим
Tender / Lot No,Тендер / Лот №
Tender acquisition,Тендер харидлари
Tender activity is empty for this period,Бу даврда тендер фаоллиги йўқ
Tender bid pricing,Тендер таклиф нархи
Tender control center,Тендер бошқарув маркази
Tender created,Тендер яратилди
Tender CRM,Tender CRM
Tender dashboard could not be loaded.,Тендер панелини юклаб бўлмади.
Tender deleted.,Тендер ўчирилди.
Tender Deadline,Тендер муддати
Tender details,Тендер тафсилотлари
Tender documents,Tender hujjatları
Tender execution flow,Тендер ижро оқими
Tender Files,Тендер файллари
Tender Information,Тендер маълумотлари
Tender Intake Center,Тендер қабул маркази
Tender intake saved.,Тендер қабули сақланди.
Tender lot,Тендер лоти
Tender Master,Асосий тендер
Tender Masters,Асосий тендерлар
Tender module is not enabled for {0}.,
Tender No,Тендер рақами
Tender operations,Тендер операциялари
Tender pipeline,Тендер қувури
Tender PO control,Тендер PO назорати
Tender process flow,Тендер жараёни
Tender Source,Тендер манбаи
Tender Title,Тендер сарлавҳаси
Tender updated,Тендер янгиланди
Tender workspace sections,Тендер иш майдони бўлимлари
Tender: {0}.,
tenders,тендер
Tenders and their permitted lots,Тендерлар ва рухсат этилган лотлар
tenders carry unverified history — the number is there but the record behind it is incomplete.,"тендернинг тарихи тасдиқланмаган — рақам бор, лекин ортидаги ёзув тўлиқ эмас."
Tenure,Иш стажи
Term (months),Муддат (ой)
Terms,Шартлар
Terms / remarks,Шартлар / изоҳлар
Terms:,Шартлар:
Territory,Ҳудуд
That date is already a holiday.,Бу сана аллақачон байрам.
That voucher is not linked to this transaction.,
the agreement versus what actually shipped,келишув ва амалдаги жўнатма
The booked invoice already matches this document.,Китобга олинган ҳисоб-фактура бу ҳужжатга аллақачон мос.
The Commercial Invoice has no invoiceable item lines.,Тижорат инвойсида ҳисоб-фактура ёзиш учун сатрлар йўқ.
The commercial invoice has no items to receive.,Тижорат инвойсида қабул қилинадиган товарлар йўқ.
The Commercial Invoice has no supplier.,Тижорат инвойсида етказиб берувчи кўрсатилмаган.
The Compliance module is disabled for this company.,Мувофиқлик модули бу компанияда ўчирилган.
The container cost lines created from {name} will be deleted. The expense itself stays.,{name} дан яратилган контейнер харажат сатрлари ўчирилади. Харажатнинг ўзи қолади.
The expense account and the cash desk are in different currencies. Pick an account in {currency}.,Харажат ҳисоби ва касса турли валютада. {currency} даги ҳисобни танланг.
The expense is split across this invoice's containers and added to their cost lines.,Харажат ушбу инвойснинг контейнерлари бўйича тақсимланади ва уларнинг харажат сатрларига қўшилади.
The GL ledger scan detected {0} issues that require immediate attention.,
The GRN expected snapshot is locked because receiving has started.,Қабул бошлангани учун кутилаётган миқдорлар сурати қулфланган.
The import order has no supplier.,
The imports module is not enabled for this company.,Импорт модули ушбу компания учун ёқилмаган.
The imports order fields are not available yet.,
The Imports workspace will be built out in the next work package.,Импорт бўлими кейинги иш пакетида ишлаб чиқилади.
The inventory module is not enabled for this company.,Бу компания учун омбор модули ёқилмаган.
The list is truncated; narrow it with a PI or CI filter.,Рўйхат қисқартирилди; PI ёки CI фильтри билан торайтиринг.
The PI number is the document identity and cannot be changed after creation.,PI рақами ҳужжат идентификатори — яратилгандан кейин ўзгартирилмайди.
The pipeline overview is built for the director and sourcing roles. Your queue for today is on the desk.,Воронка умумий кўриниши директор ва таъминот роллари учун. Бугунги навбатингиз столда.
The proforma was already unlinked.,Проформа боғланиши аллақачон олиб ташланган эди.
The proportional PI advance will be reserved for this CI. Accounts must review and submit the invoice.,Ушбу CI учун пропорционал PI аванси захирага олинади. Бухгалтерия ҳисоб-фактурани кўриб чиқиб тасдиқлаши керак.
"The queue is blocked — {0} repost(s) stuck. Re-queue them, then Run now.","Навбат бloкланган — {0} та осилган. Уларни қайта навбатга қўйинг, сўнг 'Ҳозир ишга тушириш'."
The referenced document is cancelled and cannot be approved.,
The referenced document no longer exists.,
The selected parent already belongs to another parent. ,
The selected parent already belongs to another parent. Only one level of hierarchy is allowed.,Танланган бош мижоз аллақачон бошқа бош мижозга тегишли. Фақат битта иерархия даражаси мумкин.
The selected parent customer does not exist.,Танланган бош мижоз мавжуд эмас.
The selected Purchase Invoice no longer has an outstanding balance.,Танланган харид ҳисоб-фактурасида қолдиқ сумма қолмаган.
The selected quotation was NOT the cheapest bid.,Танланган таклиф энг арзон таклиф ЭМАС эди.
"The server returned a capped page; this total covers the rows loaded, not the whole book.","Сервер чекланган саҳифа қайтарди; бу жами юкланган қаторларни қамраб олади, бутун китобни эмас."
The top-level category cannot be deleted.,Юқори даражадаги турғунни ўчириб бўлмайди.
The voucher is created as a draft; an accountant reviews and submits it in the books.,"Ваучер қоралама сифатида яратилади; бухгалтер уни текшириб, ҳисобда тасдиқлайди."
There are currently no work orders assigned to you.,
There are no proformas available to link yet.,Боғлаш учун ҳали проформа йўқ.
These are ERPNext's back-dating guards — the reason it blocks creating or editing transactions older than a set window. They protect closed periods; relax them only deliberately.,
"These are the toxic role combinations Stabler checks for. Findings are advisory — accept them with a compensating control, or split the duties.",Булар Stabler текширадиган хавфли рол комбинациялари. Натижалар тавсиявий — уларни компенсацион назорат билан қабул қилинг ёки вазифаларни ажратинг.
These device users have no employee link. Confirm a match to re-queue their punches.,Бу қурилма фойдаланувчилари ходимга боғланмаган. Белгилашларни қайта ишлаш учун мосликни тасдиқланг.
These lines allocate more than the Proforma Invoice has left: {0},Бу қаторлар проформа-инвойсда қолганидан кўпроқ ажратмоқда: {0}
These linked records go with it:,У билан бирга қуйидаги боғланган ёзувлар кетади:
This account will be hidden from the active chart of accounts.,
This account will be shown in the active chart of accounts again.,
This adjusts stock for {0} item(s) and posts the difference to the ledger. The action is recorded against your name.,Бу {0} та товар бўйича захирани тузатади ва фарқни ҳисобга киритади. Амал сизнинг номингизга ёзилади.
This bank transaction is already fully reconciled.,
This bill is already vouchered ({0}) and can no longer be unlinked.,Ушбу ҳисоб-фактура аллақачон ваучерга ўтказилган ({0}) ва энди узиб бўлмайди.
This BOM has no materials.,Бу BOM да материаллар йўқ.
This cannot be deleted yet:,Буни ҳозирча ўчириб бўлмайди:
This cannot be undone.,Бу ортига қайтариб бўлмайди.
This category pool has no boxes left.,Бу категорияда қути қолмаган.
This Commercial Invoice already has a Purchase Invoice.,Бу тижорат фактурасида аллақачон харид фактураси бор.
This correction affects payroll calculations,
This correction is already {0} and cannot be approved.,
This correction is already {0} and cannot be rejected.,
This cost line is already vouchered ({0}) and can no longer be toggled.,Ушбу харажат қатори аллақачон ваучерга ўтказилган ({0}) ва энди ўзгартириб бўлмайди.
This creates a submitted credit note (return invoice) and updates inventory automatically.,
"This customer already has child locations, so it cannot become a child itself.","Бу мижозда аллақачон филиал локациялари бор, шунинг учун унинг ўзи филиал бўла олмайди."
This customer has no submitted invoices for the selected period.,
This deal is Won — create the customer to start invoicing.,Битим ютилди — ҳисоб-фактура учун мижоз яратинг.
This declaration is not an amendment (no original GTD linked).,Бу декларация тузатиш эмас (асл ГТД боғланмаган).
This document was changed by someone else. Reload to see the latest.,
This document was changed by someone else. Reload to see the latest?,
This does not look like a 1C ClientBank Exchange file. Other formats are not supported yet.,
This draft invoice has no ledger balance yet. The payment will be submitted as a customer advance.,
This draft invoice has no ledger balance yet. The payment will be submitted as a supplier advance.,
This exception is already {0}.,
This GRN Checklist is not in a draft state.,Ушбу GRN назорат рўйхати қоралама ҳолатида эмас.
This GRN has no item lines.,Ушбу қабулда маҳсулот қаторлари йўқ.
This group restricts proformas to a single vendor — none match.,Бу гуруҳ проформаларни битта етказиб берувчи билан чеклайди — мос келадигани йўқ.
This import order is not in a draft state.,
This invoice no longer matches the booked payable.,Бу ҳисоб-фактура китобга олинган қарздорликка мос келмайди.
This is the goods invoice of this Commercial Invoice — its link cannot be cleared here.,Бу шу Commercial Invoice нинг товар ҳисоби — унинг боғланишини бу ерда олиб бўлмайди.
This month,
"This must match exactly the value in raw events (TimePay user ID, badge code, etc.).",
this page only,фақат шу саҳифа
This payment is already cancelled.,Бу тўлов аллақачон бекор қилинган.
This payment is not an installment collection.,Бу тўлов бўлиб-бўлиб тўлаш инкассацияси эмас.
This period is already accrued.,Бу давр аллақачон ҳисобланган.
This period is locked; KPI cannot be changed.,
This period is locked; the advance deduction cannot be changed.,
This posts the entry to the ledger. Submitted entries can't be edited — only cancelled and amended.,"Ёзув ҳисобга ўтказилади. Тасдиқланган проводкаларни таҳрирлаб бўлмайди — фақат бекор қилиб, тузатилган яратиш мумкин."
This quarter,Бу чорак
This request belongs to a company you cannot access.,
This request has no lines.,Бу сўровда товарлар йўқ.
This request is already {0}.,
This reverses the ledger postings. The entry stays as an audit record; create an amended one to correct it.,Ҳисобдаги ўтказмалар бекор қилинади. Ёзув аудит ёзуви сифатида қолади; тузатиш учун тузатилганини яратинг.
This role may create/edit back-dated stock entries.,
This role may edit frozen accounting entries.,
"This sale would bring {0}'s group balance to {1}, over its credit limit of {2}. ",
"This sale would bring {0}'s group balance to {1}, over its credit limit of {2}. Ask an Accounts Manager to approve or increase the limit.",Бу сотув «{0}» гуруҳи балансини {1} га етказади ва унинг {2} кредит лимитидан ошиб кетади. Тасдиқлаш ёки лимитни ошириш учун бухгалтерия менежерига мурожаат қилинг.
This Service workspace will be added after Tickets P1.,Бу иш майдони P1 дан сўнг қўшилади.
This supplier is paid in {0}. Select a {0} account: the selected payment account is in {1}.,Бу таъминотчига {0} да тўланади. {0} даги ҳисобни танланг: танланган тўлов ҳисоби {1} да.
"This total uses the rate you typed. Creating the voucher does not — it reads the stored Currency Exchange rate. Record the USD rate for {0} first, then create the voucher.","Бу жами сиз киритган курсдан фойдаланади. Ваучер яратиш эса сақланган Currency Exchange курсини ўқийди. Аввал {0} санасидаги USD курсини киритинг, сўнг ваучерни яратинг."
This truck cannot leave Iran yet:,Бу машина ҳали Эрондан чиқа олмайди:
This truck receipt is not in a draft state.,Ушбу юк қабули қоралама ҳолатида эмас.
This truck receipt is submitted and can no longer be edited.,Ушбу машина қабули тасдиқланган ва энди таҳрирланмайди.
This warehouse has no current item balances.,
This will close the order and release any reserved stock. Continue?,
This will post {0} {1}. The action is recorded against your name.,{0} {1} киритилади. Амал сизнинг номингизга ёзилади.
This will record your level {0} approval for {1} {2}.,
This will {0} an Exchange Rate Revaluation for {1} on {2}. ERPNext will post the GL entries on submit.,
This year,
This {0} needs an approval before it can be posted. It has been routed to the approvals queue.,
Three-month tender conversion,Уч ойлик тендер конверсияси
Three-way match failed:,Уч томонлама мослик ўтмади:
Three-way match warnings:,Уч томонлама мослик огоҳлантиришлари:
Threshold,Чегара
threshold,чегара
Threshold Qty,Чегара миқдори
"Thresholds come from Stabler Settings, per company","Чегаралар Stabler созламаларидан, компания бўйича"
Thu,Па
Thursday,
Ticket is required.,
Ticket must have a customer before closing a visit.,
Tickets,Мурожаатлар
Tickets by status,Ҳолат бўйича тикетлар
tied to a document,ҳужжатга боғланган
Time,
TimePay,
Timepay,
TimePay credentials saved.,
TimePay ID,
TimePay id {0} is already linked to {1}.,
TimePay name,
Timepay refresh token must expire after the access token.,
TimePay Settings,
TimePay sync complete.,TimePay синхрони тугади.
Times & minutes,Вақт ва дақиқалар
Timestamp,
TIN,СТИР
Title is required,Сарлавҳа талаб қилинади
To,Гача
To account,Гача ҳисобга
To Bill,Ҳисоб-фактура учун
To bill,Ҳисоб-фактурага
To date,
To Deliver,Етказиб бериш учун
To deliver,Етказишга
To Deliver and Bill,Етказиб бериш ва ҳисоб-фактура учун
To receive,Қабул кутилмоқда
To warehouse,Гача омборга
to_date must be >= from_date.,
Today,Бугун
today,бугун
TODAY,БУГУН
Today's queue lives on the operations desk — this is the whole pipeline,Бугунги навбат операцион столда — бу ерда бутун воронка
Toggle date sort,Сана бўйича саралаш
Token status,
Too many failed attempts. Please try again in 5 minutes.,
Too many rows (max 5000).,
Tools,Воситалар
Top 10,Топ-10
Top 10 Creditors,Топ-10 кредитор
Top 10 Debtors,
Top debtors,Энг катта қарздорлар
Total,Жами
Total (cost + markup),Жами (таннарх + устама)
Total / Present / OSA % are computed server-side.,Жами / Ҳозир / OSA % сервердан ҳисоблайди.
Total accounting,Жами ҳисобда
Total Advance to Record,Расмийлаштириладиган жами аванс
Total Agreed PI,Келишилган жами (PI)
Total agreed value,Келишилган сумма жами
Total allocated,Жами ажратилган
Total allocated cannot exceed the payment amount.,Жами ажратилган сумма тўлов суммасидан кўп бўла олмайди.
Total Amount,Умумий сумма
Total Boxes,Жами қутилар
Total boxes,Жами қутилар
Total CI Value Created,Яратилган CI ларнинг умумий қиймати
Total committed,Жами мажбурият
Total Cont.,Жами конт.
Total cost,Умумий харажат
Total credit value,
Total credits,
Total debits,
Total duties,Жами божлар
Total Duties (UZS),Жами божлар (UZS)
Total expenses,Жами харажатлар
Total Freight Cost,Жами Фрахт Қиймати
Total Groups,Жами гуруҳлар
Total in {0},{0} да жами
Total Invoiced (drawn to CIs),Жами ҳисоб-фактура (CIларга)
Total items,Жами товарлар
Total kg,Жами кг
Total Lots,Жами лотлар
Total Marked,
Total net owed,
Total operational,Жами операцион
Total Ordered,Жами буюртма
Total outstanding,Жами қарз
Total outstanding advances,Жами қолдиқ аванслар
Total overdue,Жами муддати ўтган
Total paid,Жами тўланган
Total payable,Жами тўланади
Total receivable,Жами қабул қилиниши керак
Total Required,
Total SKUs,Жами SKU
Total transport,Жами ташиш
Total units,Жами бирликлар
Total value,Жами қиймат
Total weight (kg),Умумий оғирлик (кг)
Total Weight (kg),Умумий оғирлик (кг)
Total:,Жами:
Totals,Жами
Totals shown in base currency ({0}).,Жами асосий валютада кўрсатилган ({0}).
Trade Marketing,Савдо маркетинги
Trade marketing claims and settlement tracking.,
Transaction,
Transaction Id,Операция ID
Transactions,Транзакциялар
Transactions are recorded on child locations,Операциялар филиал локацияларида қайд этилади
Transfer,Ўтказма
Transfer amounts must be greater than zero.,Ўтказма суммалари нолдан катта бўлиши керак.
Transfer cancelled.,
Transfer detail,Ўтказма тафсилотлари
Transfer failed.,
Transfer how many units of materials? Leave blank for full.,Неча дона материал ўтказилади? Тўлиқ учун бўш қолдиринг.
Transfer materials,Материалларни ўтказиш
Transfer materials and start this Work Order?,"Материалларни топшириб, буюртмани бошлаш керакми?"
Transfer recorded · {name},Ўтказма ёзилди · {name}
Transfer stock,Аксесуарларни ўтказма
Transfer to WIP Warehouse,
Transferred,Берилган
Transferred Qty,
Transfers,Ўтказмалар
Transfers exceed the payment's unallocated amount.,Ўтказмалар тўловнинг тақсимланмаган суммасидан ошиб кетди.
Transfers to locations,Манзилларга ўтказмалар
Transit,Йўлда
Transit ETA,Транзит ETA
Transit ETA (Iran),Транзит ETA (Эрон)
Transport,Транспорт
transport,транспорт
Transport / day — City,Транспорт / кун — Шаҳар
Transport / day — District,Транспорт / кун — Туман
Transport / day — Far district,Транспорт / кун — Узоқ туман
Transport by container,Контейнер бўйича ташиш
Transport Cost,Ташиш нархи
Transport cost,Ташиш нархи
Transport cost is hidden for your role.,Транспорт харажати сизнинг ролингиз учун яширилган.
Transport costs belong to third-party carriers. Expenses linked directly to a container are allocated directly; unassigned costs are distributed by weight.,"Ташиш харажатлари учинчи томон ташувчиларига тегишли. Контейнерга тўғридан-тўғри бириктирилганлари тўғридан-тўғри, қолганлари вазн бўйича тақсимланади."
Transport Currency,Ташиш валютаси
Transport details updated successfully.,Ташиш тафсилотлари муваффақиятли янгиланди.
Transport expenses,Ташиш харажатлари
Transport operations desk,Ташиш операцион столи
Transport Payment Status,Ташиш тўлови ҳолати
Transport PI,Ташиш ҳисоб-фактураси
Transport Purchase Invoice,Ташиш харид ҳисоб-фактураси
"Transport, expenses & supplier bills","Транспорт, харажатлар ва таъминотчи ҳисоблари"
Transporter,Ташувчи
Transporter & Freight Cost,Ташувчи ва юк нархи
Transporter Vendor,Ташувчи Компания
Tree view,Дарахт кўриниши
Trend,Динамика
Trend (last 8 weeks),Динамика (охирги 8 ҳафта)
Trigger Item,Триггер товари
